	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
70	R0:129			if the obtained results could be patentable, or on the possibility to publish publications… if I was to objectify innovation I would bet on them.	{'measure of innovation is if patentable or not', 'innovation valued in monetary terms'}	opportunity	{'measure of innovation is if patentable or not', 'innovation valued in monetary terms'}	{'patentability as innovation metric', 'monetary valuation of innovation'}	{'innovation evaluation metrics', 'innovation value valuation'}
70	R0:129			if the obtained results could be patentable, or on the possibility to publish publications… if I was to objectify innovation I would bet on them.	{'measure of innovation is if patentable or not', 'innovation valued in monetary terms'}	uncertainty	{'measure of innovation is if patentable or not', 'innovation valued in monetary terms'}	{'patentability as innovation metric', 'monetary valuation of innovation'}	{'innovation evaluation metrics', 'innovation value valuation'}
71	R0:130			But there might be things now that are not patentable, and would be only after 6 months.	{'innovation steps VS innovation milestones'}	opportunity	{'innovation steps VS innovation milestones'}	{'distinction between steps and milestones'}	{'steps vs milestones distinction'}
72	R0:131			So, I would make a distinction between intermediate results, like doing 50 tests in your example, and the achieved milestones, like what those tests led to.	{'innovation steps VS innovation milestones'}	insight	{'innovation steps VS innovation milestones'}	{'distinction between steps and milestones'}	{'steps vs milestones distinction'}
73	R0:132			I would make a distinction between intermediate activities and results.	{'innovation steps VS innovation milestones'}	insight	{'innovation steps VS innovation milestones'}	{'distinction between steps and milestones'}	{'steps vs milestones distinction'}
74	R0:133			Eventually I would always question if the intermediate result is patentable.	{'if innovation is not patentable then more frequent checks on patentability of innovation steps could yield value'}	insight	{'if innovation is not patentable then more frequent checks on patentability of innovation steps could yield value'}	{'patentability checks add value'}	{'IP risk management'}
75	R0:136			Respondent - Yes, outcomes are not really results but..	{'interactivity', 'pathwas to innovation', 'uncertainty because outcomes are not results that can be monetised'}	uncertainty	{'interactivity', 'pathwas to innovation', 'uncertainty because outcomes are not results that can be monetised'}	{'innovation pathways', 'uncertainty due to non-monetizable outcomes', 'interactivity in tools'}	{'innovation pathways', 'interactivity and usability requirements', 'uncertainty and risk perception'}
76	R0:137			how to say..	{'interactivity', 'pathwas to innovation', 'uncertainty because outcomes are not results that can be monetised'}	uncertainty	{'interactivity', 'pathwas to innovation', 'uncertainty because outcomes are not results that can be monetised'}	{'innovation pathways', 'uncertainty due to non-monetizable outcomes', 'interactivity in tools'}	{'innovation pathways', 'interactivity and usability requirements', 'uncertainty and risk perception'}
77	R0:138			they are like intermediate results and can be kept aside.	{'interactivity', 'pathwas to innovation', 'uncertainty because outcomes are not results that can be monetised'}	uncertainty	{'interactivity', 'pathwas to innovation', 'uncertainty because outcomes are not results that can be monetised'}	{'innovation pathways', 'uncertainty due to non-monetizable outcomes', 'interactivity in tools'}	{'innovation pathways', 'interactivity and usability requirements', 'uncertainty and risk perception'}
78	R0:139			Mapping of results will make a distinction between tangible and intangible ones, and already from this division it is possible to determine those results that will be used or not by somebody.	{'innovation steps as the ones not used by partners'}	insight	{'innovation steps as the ones not used by partners'}	{'unused innovation steps'}	{'innovation steps and granularity'}
79	R0:140			So from intermediate intangible results one could used them in the future, for new publications, I don’t know, but we focus on those results that could really provide an added value on behalf of the stakeholders and eventually which processes will be for the spin-off, but it is too early stage now to discuss about it, because we don’t have yet results and the outcomes we have so far observed, well it is too early to say they will lead to results.	{'innovation steps should be kept aside for future'}	opportunity	{'innovation steps should be kept aside for future'}	{'innovation steps archived for future use'}	{'archiving innovation steps'}
